Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris
Métro,GALLIENI,5841623,3,,,,,Bagnolet,
Métro,HOCHE,5185130,5,,,,,Pantin,
Métro,CHAMPS-ELYSEES-CLEMENCEAU,4113353,1,13,,,,Paris,8
Métro,ECOLE MILITAIRE,4638136,8,,,,,Paris,7
Métro,RICHARD LENOIR,2172035,5,,,,,Paris,11
Métro,SAINT-GEORGES,1258381,12,,,,,Paris,9
Métro,CAMPO-FORMIO,1369978,5,,,,,Paris,13
Métro,MIRABEAU,1422224,10,,,,,Paris,16
Métro,ROME,2992054,2,,,,,Paris,17
RER,GARE DE LYON(RER),38223812,A,,,,,Paris,12
Métro,BOULOGNE-JEAN JAURES,3963135,10,,,,,Boulogne Billancourt,
Métro,GARIBALDI,3692242,13,,,,,Saint Ouen,
Métro,PRE-SAINT-GERVAIS,389255,7bis,,,,,Paris,19
Métro,MOUTON-DUVERNET,1645671,4,,,,,Paris,14
RER,CHARLES DE GAULLE-ETOILE(RER),9186375,A,,,,,Paris,17
RER,DENFERT-ROCHEREAU(RER),4733142,B,,,,,Paris,14
Métro,PELLEPORT,371005,3bis,,,,,Paris,20
Métro,PYRAMIDES,5277037,7,14,,,,Paris,1
Métro,RAMBUTEAU,4074086,11,,,,,Paris,3
Métro,CORVISART,2819792,6,,,,,Paris,13
Métro,ARGENTINE,2932605,1,,,,,Paris,17
Métro,PORTE D'ORLEANS,6669356,4,,,,,Paris,14
Métro,REAUMUR-SEBASTOPOL,5669490,3,4,,,,Paris,3
Métro,SAINT-MICHEL,6713126,4,,,,,Paris,5
Métro,MAIRIE DE CLICHY,7105379,13,,,,,Clichy,
Métro,LA CHAPELLE,6976673,2,,,,,Paris,9
Métro,JULES JOFFRIN,4677666,12,,,,,Paris,18
Métro,ESPLANADE DE LA DEFENSE,10255121,1,,,,,Puteaux,
Métro,BOISSIERE,2180159,6,,,,,Paris,16
Métro,GABRIEL PERI,5405121,13,,,,,Asnières,
Métro,PORTE D'ITALIE,2444086,7,,,,,Paris,13
RER,LA HACQUINIERE,460195,B,,,,,Bures sur Yvette,
Métro,COURCELLES,2713346,2,,,,,Paris,17
RER,PALAISEAU,1061473,B,,,,,Palaiseau,
Métro,BOBIGNY-PANTIN-RAYMOND QUENEAU,2957528,5,,,,,Pantin,
Métro,GARE DE L'EST,21432041,4,5,7,,,Paris,10
Métro,CARREFOUR PLEYEL,2657021,13,,,,,Saint Denis,
Métro,STALINGRAD,7342659,2,5,7,,,Paris,19
RER,PORT ROYAL,3489722,B,,,,,Paris,5
Métro,OPERA,11175606,3,7,8,,,Paris,9
RER,AUBER,5923654,A,,,,,Paris,9
Métro,BARBES-ROCHECHOUART,9337425,2,4,,,,Paris,18
RER,BRY-SUR-MARNE,2304182,A,,,,,Bry-sur-Marne,
Métro,PLACE DES FETES,2987172,7bis,11,,,,Paris,19
RER,ARCUEIL-CACHAN,3565431,B,,,,,Arcueil,
Métro,COURONNES,3036984,2,,,,,Paris,11
RER,TORCY,4242369,A,,,,,Torcy,
Métro,TOLBIAC,3451768,7,,,,,Paris,13
RER,SCEAUX,756148,B,,,,,sceaux,
Métro,MAIRIE D'IVRY,3351677,7,,,,,Ivry,
Métro,BASTILLE,13172392,1,5,8,,,Paris,12
Métro,NOTRE-DAME-DES-CHAMPS,2146424,12,,,,,Paris,6
Métro,FAIDHERBE-CHALIGNY,3206635,8,,,,,Paris,12
Métro,WAGRAM,2565333,3,,,,,Paris,17
Métro,POISSONNIERE,3704783,7,,,,,Paris,10
RER,CITE UNIVERSITAIRE,7338836,B,,,,,Paris,14
Métro,BOUCICAUT,3403615,8,,,,,Paris,15
RER,NATION(RER),3808672,A,,,,,Paris,12
Métro,ANATOLE FRANCE,3734650,3,,,,,Levallois-Perret,
RER,GIF-SUR-YVETTE,769431,B,,,,,Gif sur Yvette,
Métro,PHILIPPE AUGUSTE,1922463,2,,,,,Paris,11
RER,NANTERRE-VILLE,4083814,A,,,,,Nanterre,
Métro,KLEBER,1357710,6,,,,,Paris,16
Métro,JOURDAIN,3467807,11,,,,,Paris,20
RER,JOINVILLE-LE-PONT,3950334,A,,,,,Joinville-le-Pont,
Métro,LAUMIERE,4556699,5,,,,,Paris,19
Métro,MARCADET-POISSONNIERS,5285526,4,12,,,,Paris,18
Métro,ECOLE VETERINAIRE DE MAISONS-ALFORT,3520624,8,,,,,Maisons -Alfort,
Métro,PORTE DE PANTIN,5377661,5,,,,,Paris,19
Métro,LES COURTILLES,4233814,13,,,,,Asnières sur Seine,
Métro,PORTE DE LA CHAPELLE,2673189,12,,,,,Paris,18
Métro,QUAI DE LA RAPEE,1273466,5,,,,,Paris,12
Métro,JAVEL-ANDRE CITROEN,3042409,10,,,,,Paris,15
Métro,CHEMIN VERT,1524831,8,,,,,Paris,11
Métro,MALAKOFF-RUE ETIENNE DOLET,2140693,13,,,,,Malakoff,
RER,VAL DE FONTENAY,14052186,A,,,,,Fontenay-sous-Bois,
Métro,GARE D'AUSTERLITZ,10443637,5,10,,,,Paris,13
Métro,PALAIS-ROYAL,9648312,1,7,,,,Paris,1
RER,SAINT-REMY-LES-CHEVREUSE,915757,B,,,,,St-Rémy-Lès-Chevreuse,
Métro,TROCADERO,9381362,6,9,,,,Paris,16
RER,ROBINSON,2181910,B,,,,,Sceaux,
RER,FONTENAY-AUX-ROSES,1183158,B,,,,,Fontenay aux roses,
Métro,MAIRIE DE MONTROUGE,7081319,4,,,,,Montrouge,
RER,CHATOU-CROISSY,2365895,A,,,,,Chatou,
Métro,FUNICULAIRE,3415784,2,,,,,Paris,18
Métro,MENILMONTANT,4359581,2,,,,,Paris,11
Métro,PORTE DE BAGNOLET,4347994,3,,,,,Paris,20
Métro,VOLTAIRE,5195333,9,,,,,Paris,11
Métro,DUPLEIX,4092602,6,,,,,Paris,15
Métro,CHARONNE,4174673,9,,,,,Paris,12
